logfeh_scale,logdust_med,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod,logl
5.5396e-02,-1.8477e+00,1.7511e+00,3.3432e-01,2.8771e+00,2.4808e+00,3.6383e+00,2.9810e+01,-1.6448e+03
-5.5231e-01,-9.4457e-01,1.6347e+00,6.1511e-01,2.4833e+00,3.6172e+00,2.1310e+00,2.9891e+01,-8.6063e+02
-3.6670e-01,-1.0864e+00,1.9693e+00,5.6476e-01,3.7565e+00,2.7050e+00,2.9735e+00,3.1105e+01,-1.3448e+03
-7.7831e-01,-1.1162e+00,1.3215e+00,1.5829e+00,2.5425e+00,2.6251e+00,3.5556e+00,2.9510e+01,-1.1722e+03
-1.3695e-01,-7.3389e-01,2.2274e+00,2.5138e+00,2.4883e+00,3.0037e+00,4.2155e+00,3.0882e+01,-1.1201e+03
-3.2599e-02,-8.0133e-01,1.9958e+00,1.2365e+00,3.4238e+00,2.0189e+00,3.4008e+00,3.0320e+01,-1.8364e+03
-4.2604e-01,-1.6121e+00,1.4735e+00,6.4529e-01,3.1031e+00,3.5284e+00,1.9214e+00,3.0192e+01,-1.5455e+03
-7.2967e-01,-6.4532e-01,1.9672e+00,1.2228e+00,3.6346e+00,3.2736e+00,3.6467e+00,3.0975e+01,-1.8425e+03
-2.6880e-01,-6.8920e-01,1.8392e+00,2.5163e+00,1.1247e+00,3.7453e+00,3.5227e+00,3.0452e+01,-9.7824e+02
3.1247e-01,-1.7535e+00,3.2089e-01,2.4150e+00,2.1620e+00,3.2178e+00,3.3928e+00,2.9569e+01,-1.9822e+03
-8.2750e-01,-6.9009e-01,1.9712e+00,2.1772e+00,2.1645e+00,3.7604e+00,3.6750e+00,3.0636e+01,-1.4214e+03
5.6937e-02,-1.6887e+00,1.8347e+00,1.9468e+00,1.0837e+00,3.4299e+00,3.8307e+00,3.0247e+01,-1.8890e+03
-4.1457e-03,-8.5991e-01,1.9802e+00,2.4059e+00,2.2929e+00,2.0359e+00,4.1158e+00,3.0511e+01,-1.7020e+03
-2.5950e-01,-1.6049e+00,1.5894e+00,1.5194e-01,1.8432e+00,2.3202e+00,3.6278e+00,2.9305e+01,-1.7781e+03
