age,mass,logT,logg,logIMF,bmag,vmag,imag,jmag,hmag,f275,f336,fuv,nuv
5.15,0.3148,3.6522,0.1716,-0.9013,5.2667,4.8423,4.0902,3.8201,3.6452,9.4423,7.3566,22.003,10.808
5.15,0.351,3.6615,0.2496,-1.014,4.9982,4.5957,3.8904,3.6471,3.4969,8.932,6.964,21.098,10.264
5.15,0.4265,3.6794,0.3945,-1.0527,4.5117,4.1507,3.5279,3.3339,3.2284,8.0186,6.2559,19.796,9.41
5.15,0.502,3.6946,0.5158,-1.0729,4.1176,3.7927,3.2357,3.0795,3.0067,7.2874,5.6887,18.558,8.616
5.15,0.6567,3.7095,0.7353,-1.0415,3.4912,3.2017,2.7069,2.5846,2.5397,6.3577,4.9121,16.99,7.633
5.15,0.9839,3.7263,1.0627,-1.2612,2.596,2.3443,1.9172,1.831,1.816,5.1748,3.8882,15.08,6.426
5.15,1.3028,3.7369,1.1991,-1.2241,2.2124,1.9817,1.5954,1.532,1.5379,4.6401,3.4464,14.118,5.85
5.15,3.3448,3.781,2.1974,-1.8043,-0.4624,-0.6136,-0.8238,-0.7927,-0.6803,1.7163,0.8051,8.927,2.62
5.15,3.6309,3.8225,2.3773,-2.7751,-1.0551,-1.1403,-1.1841,-1.0712,-0.85,1.055,0.332,6.316,1.789
5.15,3.7779,3.8577,2.4607,-2.9983,-1.3702,-1.4008,-1.2996,-1.124,-0.8098,0.7366,0.1404,4.585,1.336
5.15,3.9218,3.8933,2.5386,-2.9552,-1.6446,-1.6132,-1.3705,-1.1416,-0.7439,0.4647,-0.0417,2.656,0.78
5.15,4.1323,3.9473,2.6494,-2.9533,-1.8799,-1.7929,-1.405,-1.1079,-0.63,-0.0189,-0.3824,0.587,-0.074
5.15,4.3189,3.9849,2.7452,-3.0289,-1.9946,-1.8878,-1.4477,-1.1079,-0.6039,-0.4349,-0.7066,-0.209,-0.622
5.15,4.5036,4.022,2.8302,-3.0707,-2.0403,-1.9214,-1.4479,-1.0712,-0.5529,-0.7791,-0.9753,-0.658,-0.959
5.15,4.6912,4.0589,2.908,-3.1016,-2.0514,-1.9225,-1.4199,-1.011,-0.4817,-1.053,-1.1839,-1.012,-1.232
5.15,4.8856,4.0957,2.9808,-3.125,-2.0419,-1.9036,-1.3734,-0.9356,-0.3961,-1.2737,-1.3467,-1.299,-1.448
5.15,5.0895,4.1324,3.0504,-3.1437,-2.0183,-1.8706,-1.3137,-0.8497,-0.3006,-1.4545,-1.4735,-1.563,-1.64
5.15,5.3056,4.1692,3.1178,-3.1588,-1.9834,-1.8263,-1.2431,-0.7549,-0.1963,-1.6028,-1.5699,-1.778,-1.789
5.15,5.5368,4.2059,3.184,-3.1723,-1.9438,-1.7778,-1.1694,-0.6584,-0.0907,-1.7311,-1.6504,-1.971,-1.918
5.15,5.785,4.2426,3.2493,-3.1861,-1.9012,-1.7266,-1.0941,-0.5614,0.0151,-1.8426,-1.7187,-2.157,-2.036
5.15,6.0518,4.2793,3.3143,-3.1995,-1.8581,-1.6754,-1.02,-0.4667,0.1181,-1.9407,-1.7786,-2.319,-2.135
5.15,6.3403,4.3158,3.3786,-3.2106,-1.8139,-1.6232,-0.9465,-0.3739,0.2188,-2.0251,-1.8288,-2.482,-2.231
5.15,6.6557,4.3524,3.4419,-3.2199,-1.769,-1.5709,-0.8746,-0.2838,0.3164,-2.0982,-1.8715,-2.633,-2.318
5.15,7.003,4.3888,3.5066,-3.233,-1.7304,-1.5243,-0.8072,-0.1979,0.411,-2.1724,-1.9152,-2.464,-2.08
5.15,7.3803,4.4251,3.5753,-3.2545,-1.7057,-1.4907,-0.7508,-0.1228,0.4964,-2.2562,-1.9668,-2.24,-1.771
5.15,7.7827,4.4612,3.6466,-3.2444,-1.7059,-1.4838,-0.726,-0.0815,0.5463,-2.3525,-2.0384,-2.315,-1.931
5.15,8.2894,4.4975,3.7132,-3.3697,-1.7116,-1.4828,-0.708,-0.0469,0.5887,-2.45,-2.1153,-2.478,-2.137
